bucket_month,event_type,developer_id,developer_name,repo_artifact_namespace,project_id,relationship_type
2025-05-01,COMMIT_CODE,HAedheWULQEG4A1QHcTbsUX1uKisnmstAjvTm7hw/88=,jayantk,pyth-network,7CbZT+Alw8Biv6iCgptzNOvAwOUFg3FBfHQ/Msuw4no=,BUILDER
2024-07-01,COMMIT_CODE,rSEK+OFudebKyNgtdukRCZdtTp2fQqdunwNS6MLnV6I=,matthewlilley,sushiswap,v9C8yfcPG3QTWruewgVAij9YK5/W6p+8H4kaTIllhjE=,BUILDER
2022-11-01,ISSUE_OPENED,clVf2Jc8EyGPi8vS6PsJbE+KeaNuhrHjR/85EL40CFI=,arijoon,crytic,Fl3O8Ez0wQeEb5Hy/pug5OM0n+d4al5scUTbVdr5r4s=,DEVTOOL
2022-10-01,ISSUE_COMMENT,clVf2Jc8EyGPi8vS6PsJbE+KeaNuhrHjR/85EL40CFI=,arijoon,nomicfoundation,PyhUZNx6BtNb32p2YMEx2h6WrGOesDqk/rV1nuWAE3I=,DEVTOOL
2023-12-01,ISSUE_COMMENT,ZA6aNb+e/v5MhoCaVBRWpxw1pN7b3bKY8zRF94o4VTU=,agileurbanite,defillama,RKXiQ+QWuPsIuoADOdKR8u5M0aV1ybzkcgt8oT70hcw=,DEVTOOL
2023-08-01,FORKED,ZA6aNb+e/v5MhoCaVBRWpxw1pN7b3bKY8zRF94o4VTU=,agileurbanite,scaffold-eth,kIyB4KSX790MWeIzhuzNRuURff8uRN3K7uEmYc+PuqA=,DEVTOOL
2023-09-01,STARRED,xCYOS8hy2MtjnJ+FAtLtHF8oBDs9R65d03x5CwwCy60=,sejeff,vectorized,jYjf3SP3IiJ9lfEBt7gj8Me79zJFbihTR+zuHZXuQPA=,DEVTOOL
2021-09-01,ISSUE_COMMENT,SU/rMc4Lt13vz4o4bsOVr4JJFP5S2ZQ5iM/qRMuhq6g=,jmrossy,ethers-io,OhSYsbVtaKOxdKm1wJ5WpNfFwiQtMhvVqx11g04Dj6s=,DEVTOOL
2021-07-01,ISSUE_COMMENT,SU/rMc4Lt13vz4o4bsOVr4JJFP5S2ZQ5iM/qRMuhq6g=,jmrossy,ethers-io,OhSYsbVtaKOxdKm1wJ5WpNfFwiQtMhvVqx11g04Dj6s=,DEVTOOL
2025-01-01,COMMIT_CODE,m8F/V7Yb+Zduyu3j2/yjc3od8NtU9uKLaekI6p3xG2s=,galekseev,1inch,Y9rXNLJ/h4thc8N6RaRQEp6qaOyGsTOF8UV+xttzzK4=,BUILDER
2024-01-01,COMMIT_CODE,WPFBToPzBVGJh0xLDO8XRVPuB7pQ4faYREDNwAYuD2k=,babgev,layerswap,oSD0LKbjJGzhzGmFtIPwPVNjbpM+H0nYDjLqoqi1dFs=,BUILDER
2024-10-01,COMMIT_CODE,9lIrEzlS02aoefbK21swsrPGEYocNeSdtGfiZ6Uijz4=,nicolasmassart,metamask,dOKZpVgYpZmAJZ+f0bYZWqKGpkz25Klgk4ZjY/fdyAc=,BUILDER
2025-01-01,COMMIT_CODE,9lIrEzlS02aoefbK21swsrPGEYocNeSdtGfiZ6Uijz4=,nicolasmassart,metamask,dOKZpVgYpZmAJZ+f0bYZWqKGpkz25Klgk4ZjY/fdyAc=,BUILDER
2025-01-01,COMMIT_CODE,4Btj4gBM+XuMNiKNLcVNxuzC0bVsbve1a4cjsMXa914=,khanti42,metamask,dOKZpVgYpZmAJZ+f0bYZWqKGpkz25Klgk4ZjY/fdyAc=,BUILDER
2025-02-01,COMMIT_CODE,4Btj4gBM+XuMNiKNLcVNxuzC0bVsbve1a4cjsMXa914=,khanti42,metamask,dOKZpVgYpZmAJZ+f0bYZWqKGpkz25Klgk4ZjY/fdyAc=,BUILDER
2025-02-01,COMMIT_CODE,6xYXxyXF1RFR2uJpXAHbqYWv4S7yrrH91S+xO48gJT8=,hellwolf,superfluid-finance,LCI8TFIFGUudioEaZRR/WH6nLRppA/hazF5JKlZUil8=,BUILDER
