onchain_builder_project_id,devtooling_project_id,dependency_source
Au33UEF+B4T0mjpeQ0bLilRy1ATtuhm9T32ZrO3sL8A=,qG8wMwZc0z2iMNGmqEbE0yJCaHgGkvQgKL7w5NNjr2E=,NPM
c/dKIiJnIKIxWPUPaAC30nS/TmqojvpagHXzV2L6td8=,SYTvL1tiICyIVzhoaKP5OYM4G0dA9Np7t00qjDR6GkE=,NPM
QWbrSwFtofJISwV7Je/ij7IyqwT7e9KTQWBypHUPbec=,NGbZU3ScsbMUnmgUnRJvqBXFPRljZDbDYozQSJw1Vh0=,NPM
KLkMfahLmIEtzAbihkJ4U9p0e/3zWn0iN6xBrwN++lU=,PyhUZNx6BtNb32p2YMEx2h6WrGOesDqk/rV1nuWAE3I=,NPM
InBwrPyjI4W4SszVQ8m3Vz9EenyN2Ww0BS3a7SY7dgo=,0iGupg8Tl/ZbEszVryfNppJEWx9S1fHu8Yi9t9NLnCM=,NPM
Jpscljo0tkzVDYKwVNnTSuR+AFUyy4EHg4AWd+Mdnd4=,wpZkDSZkSrAf85BQoNpzQpmnDcWdnN/5GFtHUPsa0aM=,NPM
hMNrmX7nfpMimNe0zQmqdkZVy4PrhU3MIliN9gVR9y0=,l6kVcu/tuzgNkXvebL+V0q7p22mPQk/KwrQs5ikWyoE=,NPM
M7mj4E6rVNxqX6O3QbNNaworQ4q/zn9J1XKeZ4Ch2lY=,XnDkeCj+BIXcgu136Pn/CS8anzzJmjwM5NKjSNwugl0=,NPM
i/gSAlLU7P+FhIOzDQEk2+c5aOXKLmzAQILG8vqqJOE=,JEGKohqd4SMdF2XsPQx53SuYckF5GP2RrdX9vLzovBk=,NPM
gBq7Wl0q0X+/hAl3qY/vtLirLXpwMoCndZ8i/B/6wd0=,OhSYsbVtaKOxdKm1wJ5WpNfFwiQtMhvVqx11g04Dj6s=,NPM
/48A4/LZsBf1ztk3blMoY9kPQjx8knNp/EabsEszQ4Y=,cMvqc/MCp82+XAAIkdS+Ee7CD3MkLQwgO5QBbblIO5g=,GO
ec9PEUQwIfXCq7fpDHA2JwxwoxTgF+8o62D67ixlTbM=,NGbZU3ScsbMUnmgUnRJvqBXFPRljZDbDYozQSJw1Vh0=,NPM
7CbZT+Alw8Biv6iCgptzNOvAwOUFg3FBfHQ/Msuw4no=,qG8wMwZc0z2iMNGmqEbE0yJCaHgGkvQgKL7w5NNjr2E=,NPM
xviKn2FdguZwT1ubu6x/tOHJWauHRwimfjxSI0fgJUc=,ISJwb3A6NNTyxbFJnVHANLlnawWh8kDARUXf4HZTd3s=,NPM
cIAKWrgGpr2ANu098+em+GXcYNxfZjFHr8BAX4KudgY=,JEGKohqd4SMdF2XsPQx53SuYckF5GP2RrdX9vLzovBk=,NPM
1PqWi/6kQu3j9O311xKAqoA9vYRJjIlLefadHnswYrE=,VX361jrBrvz2/vC9Ms9xPzOAkPO5CJLOs4FSPmjKFHs=,GO
E9H3Htqh4/dCGgu9GUI+ksk7cayGewmtONFiBQWlveo=,qG8wMwZc0z2iMNGmqEbE0yJCaHgGkvQgKL7w5NNjr2E=,NPM
6UcWU7xwFGmSZ5UkcW2HE2zl+oj1pxP8yxX4xn1t+ko=,D/EXUXnX8dbOCU6qXNGAgNxhLOdodwJNNjMPeLUHSu4=,NPM
hXft30qN2XyV9hhEMZQh4S7OA+jytIsPLB9IP6Taw78=,qG8wMwZc0z2iMNGmqEbE0yJCaHgGkvQgKL7w5NNjr2E=,NPM
6UcWU7xwFGmSZ5UkcW2HE2zl+oj1pxP8yxX4xn1t+ko=,+PfbGQq2fXc65J+R0ni5deEPvSbqCGwIUSGfsnt3swM=,NPM
v+EPc4pOnT53GyWYLFzP9nZ0CjoQ1cntyeqd+9wOnWg=,wpZkDSZkSrAf85BQoNpzQpmnDcWdnN/5GFtHUPsa0aM=,NPM
p3mu9598KidLIbo8g8ZW2jgJjlv1JxF5pAooOzmYIiw=,ISJwb3A6NNTyxbFJnVHANLlnawWh8kDARUXf4HZTd3s=,NPM
83vU+yNqkz6za9WCowH5ml+YCTUx0b+oqNLtihWcd88=,PyhUZNx6BtNb32p2YMEx2h6WrGOesDqk/rV1nuWAE3I=,NPM
SknvJ1fKqsEjRQTERy44BdTmY67lcFa3Yg9AHT5MwxQ=,PyhUZNx6BtNb32p2YMEx2h6WrGOesDqk/rV1nuWAE3I=,NPM
1XmrMwdqgUb8jliAn9nIScPx7fAicOqIFPW42ioD1x0=,JEGKohqd4SMdF2XsPQx53SuYckF5GP2RrdX9vLzovBk=,NPM
+Yqnb1vNtZ7qeamha1KsaDhLsAIFFNR4ZVgM4svDOZ4=,l6kVcu/tuzgNkXvebL+V0q7p22mPQk/KwrQs5ikWyoE=,NPM
om+w927v3zYcmk77AShf/wH4sac6MkhpIWBW0H/wYkE=,cMvqc/MCp82+XAAIkdS+Ee7CD3MkLQwgO5QBbblIO5g=,NPM
KLkMfahLmIEtzAbihkJ4U9p0e/3zWn0iN6xBrwN++lU=,SYTvL1tiICyIVzhoaKP5OYM4G0dA9Np7t00qjDR6GkE=,NPM
cYKtZm5LcO+lBzh/EHUjfUxeT0RV+1rhpsH/ZXkfwms=,jD1XHm/vOqe4VURVumfnsrgIOnwlL4eTm/2Lox+UqCI=,NPM
0rInH1b9Mh04BAwmikdFhcH/YDDR7xg7vxtho7SyKsY=,NGbZU3ScsbMUnmgUnRJvqBXFPRljZDbDYozQSJw1Vh0=,NPM
6cfML/aR2XzMajfyvArr6fYfmX3qELY6+KGqVuv1hm4=,PyhUZNx6BtNb32p2YMEx2h6WrGOesDqk/rV1nuWAE3I=,NPM
aGpGH8qz3FmBNtMGV/yB4PSWzsO7SlVKvqR+vk3+7NE=,wpZkDSZkSrAf85BQoNpzQpmnDcWdnN/5GFtHUPsa0aM=,NPM
iFBS0pE9GO7L6gnCJEKucS3Yj7gRInnND8yt8orBnb0=,ISJwb3A6NNTyxbFJnVHANLlnawWh8kDARUXf4HZTd3s=,NPM
c8GC57WgxzteJkh19vwy5jk54PJiDsGlcCG7A8bo0UM=,NGbZU3ScsbMUnmgUnRJvqBXFPRljZDbDYozQSJw1Vh0=,NPM
