project_id,project_name,display_name,total_transaction_count,total_gas_fees,total_active_addresses_count
4iXU/Dlz1CBdUGyuiUP6IiMJtBR+GKUn1tkbSSLOGQQ=,manifold,Manifold,1097303,4.735027947011128,106842
6rBTpjfkCGptucRNLz80FUkhaxg0Hm07bzb824NkHXA=,enjoy-tech,Enjoy.tech,1056576,0.13519501677610968,85602
v+EPc4pOnT53GyWYLFzP9nZ0CjoQ1cntyeqd+9wOnWg=,mintswapfinance,MintSwap Finance,1013847,33.677635034132976,136336
Zy6ZHnI5FaGA6G9Pm0+DxqvFg3pcni2pcNqd6VPbsG8=,stargate-finance,Stargate Finance,892389,4.746570407020519,167060
rU5cF8xxSnfmw0tq9VCl33LJXFCXqQVzqAWnWN9iWnw=,synapse,Synapse,847888,134.8722595680657,63925
IC4gXIZe/sWGrV5sOyeoSlqkS7t4BZd40afZT+2Q7bA=,beefy-finance,Beefy Finance,828923,19.101930998742183,47382
HG82ZJgWrvt0Nq2de4DtXoNFMaCv22KSY72BQs6+bNc=,extra-finance,Extra Finance,808377,87.64161839724967,68043
qRMDRovBgcYS7aEaZWErA7bhJsU0YOjbEZkp3GNi5ss=,gainsnetwork,Gains Network,764109,163.20019348413393,5341
Xi15+MZYVrIgTh9Writh6LlzH1a1bhs5jTlAHNEQCxQ=,dmailofficial,Dmail Network,738263,2.471045065418051,113148
QWbrSwFtofJISwV7Je/ij7IyqwT7e9KTQWBypHUPbec=,solv-finance,Solv Protocol,733787,530.6784877596153,49845
R/brPbiaD8+ZOgc2k4NVBYT3oWYh50xHrkVT0zKFP94=,jojoexchange,JOJO Exchange,703326,21.84296371669685,3206
Q3otD2dVMuz3OUvC1yAKkIrl9KIt8ksR1rOXG/vLvfI=,orbiter-finance,Orbiter Finance,688662,1.6960379857328112,116275
lY3hN7xGe8jTGb9c9z2Sa6r2PmBV+FG9WJmC8Xwe46s=,seamless-protocol,Seamless Protocol,683491,25.51550609545099,81892
As9H82L8UoJzE97yMeP4TbewafniYHdvyC68sIc/NlA=,createx,CreateX,650318,4.566787622142992,51156
g6Z4CSsse62oS12pTQrmQ5gu1iLt74uJP5rwFgdhX1c=,paraswap,Paraswap,624162,41.93858439632647,60588
KLkMfahLmIEtzAbihkJ4U9p0e/3zWn0iN6xBrwN++lU=,ethereum-attestation-service,Ethereum Attestation Service,582300,1.8342061538360377,32397
bnzwxyhCMzIG0ZOZOoDMEX2euxER7M/6hOePSsnlVR0=,morphex-labs,MorpheX,582092,28.456938997008248,37882
fhQOM88bZld6udOIUL5hyBRrmGm4mv7G7sv3Opl6/7g=,0xsend,/send,575324,3.949418627079781,2931
f1wR3UqmXt+Qkw8FYwqMEUNAErQVhEBJ8rq4KaxoCHw=,threshold-network,Threshold Network,530948,2.3982485300545435,33570
zx+dJHqx4qo8wGWwXVPOG55B/omdoN9vrtUaK6+Tsy0=,pods-media,pods.media,469281,23.7899825864495,45062
