project_id,project_name,display_name,transaction_count,active_days,active_addresses_count,gas_fees,is_eligible,has_defillama_adapter,has_bundle_bear
Js09gjzwO4g6aeV2Fb+ZNlHypJc4DlUozk3enNLotIc=,0xcbfdcf8f724d73504d1518d5ecd7d7256b12d37e68cd84569b383bfb6e2eeea4,Dmail Network,738263,180,113148,2.471045065418051,True,False,False
wzX0MzHFlylzzHVBLRO8ZX30RYXbg4h3K8XwNrRmJos=,0x0b8acaf73a25ba1f64bf829f9678beb8b7edf825353ebea38085590d78d74d5d,Tokiemon,690881,168,49130,6.773214299900396,True,False,False
iXR35Xnzm4ioS5d0Eka/UAnUN9CHj4iasG/B8CgiWP8=,0x7539f43dc91f9c406c83a06339708e4033cdbf630916c6dfb9de2b5ef811affd,Seamless Protocol,683491,180,81892,25.51550609545099,True,False,False
FT3wZj26UAebMH4ywu7oQvrie1GQSmu9aogl40bsCWQ=,0x0008577196fa6ec286440b418e2f6305fc10e62ce759625d826be272ee6b45a3,CreateX,650318,180,51156,4.566787622142992,True,False,False
a71tbYAPlOpIwh4+Y591PqZ/kYIbS4qRRpQ8WH2w4oM=,0x3526b9c6fdc34076d7d2c31893b94e760f4d5a010387b6b76b45f8b5577ceb98,Gyroscope,593605,180,158586,2.163733450717627,True,True,False
Ze2CblnBaz2Apm6a00KjwAZ7N4K5yxDUpXlK+mDkwJw=,0xa88844cea135382e3484e39c3172033437121b35ca0bc8b10b9b8253984876b5,Ethereum Attestation Service (EAS),582300,180,32397,1.8342061538360377,True,False,False
JbP9BR4xjNu+yvhnSQkWqjlTW33drd+NLR8HY0uie84=,0xe5c133e05956a3939b9a78f4ad5d0a897a027da60a7d5e1b6276a2266211f69f,BMX,582092,180,37882,28.456938997008248,True,True,False
iHkkzr7r4TtJl1Pe3jRW6Le1xzeaou/GJe/x5F+VKcA=,0x5614d129eba060ce7d224e8e8f9f29aeddfdb572b0dd45edc81f18f5307bc01a,Send,575324,180,2931,3.949418627079781,True,False,True
imahnjIpbGgSkNyqkOjhlczoUga8ECPoEpirrLs68jQ=,0xbcb5c437d5347be21add3972512679054416805274f80e85ab8053ae79340a69,Ionic Protocol,553867,180,39317,9.886507608051518,True,False,False
H0Wcz4f5bYNrMNDSdwJt/pRqNRK2olM1vl2qk15M+4o=,0x4eaa0df4cfbda85126db57a231598d33c283b8aacf3a441539877ce7e17be22a,daos.world,518414,71,82483,6.731097137942687,True,False,False
gUFAlmQjlPwJ47EfIYcW8OScZ5iHFZBD/TE4Mhx9WQc=,0x850df51e29f2846a5f085d88e6b6fc13fad51ad7161f8a825ed09d470668161a,Party.app + Party Protocol,485743,180,94410,8.435414334512798,True,False,False
VTFjeAN76kGnqTqKP+SMe2HPaIKY3wKvwo613l6OWN0=,0x098fca4a62159ddfc2c45dc2931a727d56f039b8f68e31222b927aaf2ce75b9e,pods.media,469281,180,45062,23.7899825864495,True,False,False
vCa+wBp0799NJ8j9L6UgKxKmqiLT95Zk/aQX/hXty7c=,0x0ee3defac0e2a31b995bc073ac02a2140aaf01679e141eb8d1d80409f75f90ea,Mint Club,447250,180,82363,13.239528535727747,True,True,False
tEUQBjhYBdWaLRVt375K9avn6ysFWbvqZz85jmaPR2w=,0xf24315614063278ba3543e1717791132a9afa79b0e65baa01a85bcccbdfa215f,deBridge,431583,180,71307,85.33481914890777,True,False,False
lWJtSU1/x0pxa2x/PDlxUrIjG951wWu6c2WXiUCUKO4=,0xd3d00c946f62ac8cf49a85e3ab7d295d3b56f68d0b9f1fa4d595742fa372cf78,Compound Finance,429540,180,82830,14.75005043212543,True,True,False
JvriFQ0NlFxB3+GIDPJQShc9f52TRc/cmOcLdzUPgL4=,0xffffeb1d3576c1e847701c225975ee1a10259e05366b477e98fea7a47c5e5896,Rainbow (Rainbow Router),424259,180,50762,10.953721032536336,True,True,False
Vbt0Je/QVMzwz2kXjZhu4hCHrfa5JmL17azwgy9pDRY=,0xc938557155993da8f33857e52d7deb04421d1bb341fc24216563aae64fe32d36,BSX,417434,180,10052,43.14769420531773,True,True,False
nrBN5UU9cny2/KPrQFVI7k6AOnIRr7gYok3UIwdpq6c=,0x3ecbf66c1b21342b26acb0f7d4c6b8bbbef168ffafff3f425de3503fd8dfa535,Superfluid,375260,180,31225,26.74972961809751,True,False,False
0eM1b8HKnTMw5hgzgPw3l3m4A4wwTQd/0e1rFWNPz8o=,0xd54e1032bf16d649f8f8f0a7da42a249966ad4a270b4c17b24ded1e32c97b2bf,NFTs2Me,372818,180,107593,1.6028718949344396,True,False,False
sMEYAIHyC7RMbAjCcImJti3PrNJCoQPycDnIfVBvxiI=,0x482720e73e91229b5f7d5e2d80a54eb8a722309c26dba03355359788b18f4373,RubyScore,364668,180,34833,0.5154446352997772,True,False,False
5JISU2Dd3upAAQxpI6eEKNuI/pWdKGu5Z36klLtZvXc=,0xdc28e29764ca79368f426f106458f2c427392e32d088b04f4c372ab51b25d2cf,Meson Finance,325676,180,16894,3.7506195698686366,True,True,False
OVIxgHj4N8zf/sBSYEBssZf0Nyz6mCaIEJa0exm7PoM=,0x7974baaeef5e3af2e165a0911471ccddcb47d8ca74438558a89abb515aa64275,Krystal,323965,180,39205,21.01819071771172,True,True,False
1TLTRUof21yQ9U4hpzbBFOxsAYwtkoq1KsBpe3xQgtk=,0xc3a50c1784f3ac4fc8ae72d07cf0bfcf933e3d23ffb5a3ab46263182a098e617,remx.xyz,315078,180,591,2.1285779751806255,True,False,False
/Hxq4RTbKkeetoxVgusMQJX3vx6CFQQU8oZccJFAvmg=,0xeecfa614f020c2ea4c2eb431246befedf35ddc6c52cfaa83d0c4caf2f580f9f4,doginme memecoin,277738,180,35112,9.322788105556164,True,False,False
57FvWwsyNX2cCoYXRlrD084qD9kG/nh1tYNWPswNSs0=,0x4d71401a0dbd9b3dd890fbc70baaf872d16db80af149e20f7ef1805fc94f6df6,Router Protocol,261655,180,84058,3.1206018733001337,True,True,False
XLvkdswVcDHS98ET9dfOceXRGZFTzV/dYrPUB8DA2Bc=,0x96767e87a27cdb9798f40c3a6fd78e70da611afe53a5e45cbaafc50cae4ad0e7,Sonus Exchange,253658,47,37326,11.577518673581364,True,True,False
0IoaqfH0mkl61jIvWC/JWobbYPP2gn9rTTSuF2/Ydew=,0xafca3591b83586f14e21b397135b95af668f5ebb54cb45053af44a73df7d7640,Layerswap,229638,180,175138,0.10087409862776617,True,False,False
7EueslOSAcOTAgLquDFENtOlSVcp6+Ti4F4AJDjHiBg=,0xc8ce0bfc7cd141c57a816cce213471208a1f6136c7aed5282c2c41b434006518,Bedrock on Optimism Superchain,228036,180,65312,9.368441079827068,True,True,False
mdb4FjuCCmOI5Tc+xwDeXfQd/1Nm2o7JZy8ZHzlxC9o=,0x259b729af86ba38c0c84be9b739dfbca109a6df985371d8cabd43116d18d7a1a,Flaunch,227434,30,17072,67.46231324743292,True,False,False
g2gW16kX/8gl4n71esfphgWmt4r2COs4Bc9cGM9025Q=,0x7262ed9c020b3b41ac7ba405aab4ff37575f8b6f975ebed2e65554a08419f8f4,Sablier,216428,180,77399,2.209963058159262,True,True,False
2d1UftVv4xC+BHialsxoPjC1WJDySvOpnH9o+3sQFYc=,0x85bef37b528ec9d7e1a9cb864e298e3c117071507acd3f522c28561435d167f5,rhinofi,203869,180,60377,1.6228623975705334,True,False,False
gw1/n9hvDoPA0W0U9NMZ74RsNSQViz+i6ArfdDqPn8E=,0x3d009f8f7c1e8a3bcbc81ca8ed60d2e86b956dd0fa68c4595f851be37052a2b5,Guild.xyz,203140,180,134163,4.170713604876458,True,False,False
JTetyUvTgu3P3fKekPJHOjCG1Uuv2TfuDHm9hjADzPM=,0x149bc5c396fd3dccac39c92164bb6b8bccc4d215321b58e241af07a76616e031,Hop Protocol,200522,180,110736,3.503096964925208,True,True,False
xOZNIZHXWrA+JWBmcsHybyHDy0WZy/gOyw1VaqAupG0=,0xff1edf67227651293a9cff4dce3577c6ca52bf8c7c6f5f133f07b05255379b27,Kelp,194100,180,29155,0.3634569849618049,True,True,False
WHFAB3T/+twwBk665nB9w6CsvlhsOEpfPMTT+AfOcmY=,0x7eb6ba7a1057659d04ec414446c1b32509bf57704958139266c7120903446ad6,Pinto Protocol,192589,101,12665,51.72293746449089,True,True,False
r3lF/NNRd0zzZXI+9kT2/r0rohb1fra20npNdnPi/ys=,0x9c691ba3012549259099205cc1a7ca4d09d9b7a24a1b7b821b52c7bf1c9b89f4,Origin Protocol,163351,180,19737,1.7967688873579233,True,True,False
HWseNMpaGXySSUevj2VVHOyjIcwPrWDZaV1BEkOzPQg=,0xa09305aa57a60e362b11911666f6310f46c959ead9116333d2e7ca91aee180bf,Super Account,160404,152,57464,0.15733965502349287,True,False,False
xIbbe0c5UuvK+FcT9NA6+83THJRxj1w9FnFI1PaYAGo=,0x82edc3ac2a03da21c5a6033159ba8e97aab2f61dc5d1d9813929fea6d6c35362,Superform,151901,180,22646,2.0541880818811666,True,False,False
8KoGcAjv//eKoINV7i7nOfZwp7lSOd8rO+wr18AGDOQ=,0x558ad0914eaf21a4965b2e4b7fef4cd66ef9d5bb861c5c42f4795a9e4614df71,Chonks,140315,85,12792,85.62856341920416,True,False,False
gsdS6IBEk8Q9DoxMTexanVBfgLI1UzAPsWaZh21PZBg=,0x0e5d90c5b5b75851d02f8286e78ed3b7af85d6920ca92a0f73cdc268fff185c0,Moshicam,133566,180,27645,1.0780003593236747,True,False,False
aWuNB+5mklnapGsyBMh4Igpdl8e6JeGAFQW0cp1KN14=,0xc0901c8f9503f0bf91a1cca0c6c90e55af8719cc2237fb4a0bf0770b307cbd11,Basepaint,120513,180,4583,1.8785894664097296,True,False,False
l5D8eaAKqeJb+R8Q94GmrcZiPuwEgmZjQK8GKQiIYDk=,0x867b0364ac86ff4cc61a47ee99a0f96c8b952af8728442a048f7e3ac5892aae9,Gaslite Drop,110852,172,581,10.726650674342876,True,False,False
EWGl5CyDKCdw2krkHJwc8V1FoELaCSXGUis9SHr2+fs=,0xd765664dd27255f1ba341fbb3375439a57fb6a92313df2f7af7856233f415ed7,Linkdrop,108208,180,11341,0.9476666281298969,True,False,False
cAaBVZiIeQZu4fS3TLKB2SgqPCHj7MtzVq27nQZkmS8=,0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,Exa App,105323,180,17163,0.9454254126767048,True,False,False
lRCVGOtHuZv3FlsKZQ/VwhC1NERgrSYVPYW8sSVpfLw=,0xda59222ef8b1cd429ad08e9d1ca90f38988834e74cf3439a780428b85e4788bd,Fit Club,95981,180,5278,1.7161067627644933,True,False,False
4dqHjI/pEtyPjvZVF5KMQ2gz2K9ah7yeFGwbfXSpRxA=,0x1f60db63651f74e2fc8b3ff900d05142552a763c31caf3a8c8e62b0953f02bf2,SuperVol,93254,47,28788,2.682541446469925,True,False,False
