bucket_month,project_id,developer_id,developer_name,event_type,repo_artifact_namespace,relationship_type
2020-06-01,E5usljx7n+jlIk9QsYETSlyKz0rdIo9jeCFUzDrO3Qk=,Ocvo//zm0CsNFeH1F4NBY1enu/klWxJ+xddaRt6N43Q=,mirceanis,ISSUE_OPENED,ethers-io,DEVTOOL
2024-02-01,+PfbGQq2fXc65J+R0ni5deEPvSbqCGwIUSGfsnt3swM=,/HFkDRex5raY697wWI48cvrmd92j3O7wLk2SMm7gppY=,remedcu,FORKED,sc-forks,DEVTOOL
2024-04-01,FT3wZj26UAebMH4ywu7oQvrie1GQSmu9aogl40bsCWQ=,+6dvUt6vc/puJjHEAixSt7ELurwO0IX7mTHvidDCSLs=,simplyoptimistic,ISSUE_OPENED,pcaversaccio,DEVTOOL
2022-11-01,o1y6ChRZ6JOEwoiUsf/noqLXSmBlc1X9v+fNY7lA2Ns=,CU9RpyCJNqROiGpMU3AKsFbi18Hle2ITSS8iswavzwk=,dbeal-eth,ISSUE_COMMENT,usecannon,DEVTOOL
2024-12-01,o1y6ChRZ6JOEwoiUsf/noqLXSmBlc1X9v+fNY7lA2Ns=,CU9RpyCJNqROiGpMU3AKsFbi18Hle2ITSS8iswavzwk=,dbeal-eth,PULL_REQUEST_OPENED,usecannon,DEVTOOL
2024-12-01,FFp3VPAxieqG6fo9LEtIGBef5T0DzUYfLVnrXOcKAtQ=,CU9RpyCJNqROiGpMU3AKsFbi18Hle2ITSS8iswavzwk=,dbeal-eth,PULL_REQUEST_REVIEW_COMMENT,usecannon,DEVTOOL
2023-06-01,o1y6ChRZ6JOEwoiUsf/noqLXSmBlc1X9v+fNY7lA2Ns=,CU9RpyCJNqROiGpMU3AKsFbi18Hle2ITSS8iswavzwk=,dbeal-eth,PULL_REQUEST_REVIEW_COMMENT,usecannon,DEVTOOL
2023-12-01,+PfbGQq2fXc65J+R0ni5deEPvSbqCGwIUSGfsnt3swM=,/HFkDRex5raY697wWI48cvrmd92j3O7wLk2SMm7gppY=,remedcu,ISSUE_COMMENT,sc-forks,DEVTOOL
2021-06-01,OhSYsbVtaKOxdKm1wJ5WpNfFwiQtMhvVqx11g04Dj6s=,Ocvo//zm0CsNFeH1F4NBY1enu/klWxJ+xddaRt6N43Q=,mirceanis,ISSUE_COMMENT,ethers-io,DEVTOOL
2024-05-01,As9H82L8UoJzE97yMeP4TbewafniYHdvyC68sIc/NlA=,+6dvUt6vc/puJjHEAixSt7ELurwO0IX7mTHvidDCSLs=,simplyoptimistic,ISSUE_OPENED,pcaversaccio,DEVTOOL
2022-11-01,qG8wMwZc0z2iMNGmqEbE0yJCaHgGkvQgKL7w5NNjr2E=,/HFkDRex5raY697wWI48cvrmd92j3O7wLk2SMm7gppY=,remedcu,STARRED,openzeppelin,DEVTOOL
2022-06-01,o1y6ChRZ6JOEwoiUsf/noqLXSmBlc1X9v+fNY7lA2Ns=,CU9RpyCJNqROiGpMU3AKsFbi18Hle2ITSS8iswavzwk=,dbeal-eth,PULL_REQUEST_OPENED,usecannon,DEVTOOL
2024-04-01,g1pi0NuLcPtSAjpxGRMTIM2ZRs5y6h3IpcW0PRKvSQo=,tS7M5PfdAMYcACbTgNWHm4bLegXzzSp0g/i4qDEJStE=,stephankmin,STARRED,vectorized,DEVTOOL
2024-04-01,zvs0eTiLolOMzVdxyQsuo5exWgC/xRNbgQO527wwpg4=,tS7M5PfdAMYcACbTgNWHm4bLegXzzSp0g/i4qDEJStE=,stephankmin,STARRED,vectorized,DEVTOOL
2022-10-01,o1y6ChRZ6JOEwoiUsf/noqLXSmBlc1X9v+fNY7lA2Ns=,CU9RpyCJNqROiGpMU3AKsFbi18Hle2ITSS8iswavzwk=,dbeal-eth,ISSUE_OPENED,usecannon,DEVTOOL
2022-10-01,DIzubrsn/a/8kmeZ2iZY7KzKEcR2CvfHkg9WQZ0rkeA=,CU9RpyCJNqROiGpMU3AKsFbi18Hle2ITSS8iswavzwk=,dbeal-eth,PULL_REQUEST_OPENED,nomicfoundation,DEVTOOL
2022-10-01,FFp3VPAxieqG6fo9LEtIGBef5T0DzUYfLVnrXOcKAtQ=,CU9RpyCJNqROiGpMU3AKsFbi18Hle2ITSS8iswavzwk=,dbeal-eth,PULL_REQUEST_OPENED,usecannon,DEVTOOL
2024-03-01,o1y6ChRZ6JOEwoiUsf/noqLXSmBlc1X9v+fNY7lA2Ns=,CU9RpyCJNqROiGpMU3AKsFbi18Hle2ITSS8iswavzwk=,dbeal-eth,PULL_REQUEST_OPENED,usecannon,DEVTOOL
2023-12-01,FFp3VPAxieqG6fo9LEtIGBef5T0DzUYfLVnrXOcKAtQ=,CU9RpyCJNqROiGpMU3AKsFbi18Hle2ITSS8iswavzwk=,dbeal-eth,PULL_REQUEST_OPENED,usecannon,DEVTOOL
2024-03-01,gUAJqDzlGG+FoZlO0a2/gjAMHgPjyorXA2SSKShTWcI=,s0y0fhANfDtQR/fGTEg6MAxMn3wHz+cHYqmVX1/P1LQ=,iainnash,COMMIT_CODE,ourzora,BUILDER
